game_id,game_date,team_name,venue,batting_avg,earn_run_ave,game_outcome,game_number,visiting_team,home_team
43559-BOS@OAK-1,4/4/2019,Oakland Athletics,Home,0.361,3,win,1,Boston Red Sox,Oakland Athletics
43559-BOS@OAK-1,4/4/2019,Boston Red Sox,Road,0.294,7.88,lose,1,Boston Red Sox,Oakland Athletics
43559-CHC@ATL-1,4/4/2019,Atlanta Braves,Home,0.382,4,win,1,Chicago Cubs,Atlanta Braves
43559-CHC@ATL-1,4/4/2019,Chicago Cubs,Road,0.182,9,lose,1,Chicago Cubs,Atlanta Braves
43559-CIN@PIT-1,4/4/2019,Pittsburgh Pirates,Home,0.312,0,win,1,Cincinnati Reds,Pittsburgh Pirates
43559-CIN@PIT-1,4/4/2019,Cincinnati Reds,Road,0.182,2.25,lose,1,Cincinnati Reds,Pittsburgh Pirates
43559-KCR@DET-1,4/4/2019,Detroit Tigers,Home,0.207,3,win,1,Kansas City Royals,Detroit Tigers
43559-KCR@DET-1,4/4/2019,Kansas City Royals,Road,0.235,5.62,lose,1,Kansas City Royals,Detroit Tigers
43559-NYY@BAL-1,4/4/2019,New York Yankees,Road,0.324,4,win,1,New York Yankees,Baltimore Orioles
43559-NYY@BAL-1,4/4/2019,Baltimore Orioles,Home,0.286,8,lose,1,New York Yankees,Baltimore Orioles
43559-TEX@LAA-1,4/4/2019,Texas Rangers,Road,0.385,3,win,1,Texas Rangers,Los Angeles Angels
43559-TEX@LAA-1,4/4/2019,Los Angeles Angels,Home,0.229,11,lose,1,Texas Rangers,Los Angeles Angels
43559-TOR@CLE-1,4/4/2019,Cleveland Indians,Home,0.25,1,win,1,Toronto Blue Jays,Cleveland Indians
43559-TOR@CLE-1,4/4/2019,Toronto Blue Jays,Road,0.1,3.38,lose,1,Toronto Blue Jays,Cleveland Indians
43559-WSN@NYM-1,4/4/2019,Washington Nationals,Road,0.167,0,win,1,Washington Nationals,New York Mets
43559-WSN@NYM-1,4/4/2019,New York Mets,Home,0.125,4,lose,1,Washington Nationals,New York Mets
43560-BOS@ARI-1,4/5/2019,Arizona Diamondbacks,Home,0.45,8,win,1,Boston Red Sox,Arizona Diamondbacks
43560-BOS@ARI-1,4/5/2019,Boston Red Sox,Road,0.316,16.88,lose,1,Boston Red Sox,Arizona Diamondbacks
43560-CHC@MIL-1,4/5/2019,Milwaukee Brewers,Home,0.417,10,win,1,Chicago Cubs,Milwaukee Brewers
43560-CHC@MIL-1,4/5/2019,Chicago Cubs,Road,0.308,14.62,lose,1,Chicago Cubs,Milwaukee Brewers
43560-CIN@PIT-1,4/5/2019,Pittsburgh Pirates,Home,0.172,0,win,1,Cincinnati Reds,Pittsburgh Pirates
43560-CIN@PIT-1,4/5/2019,Cincinnati Reds,Road,0.107,2.25,lose,1,Cincinnati Reds,Pittsburgh Pirates
43560-LAD@COL-1,4/5/2019,Los Angeles Dodgers,Road,0.351,6,win,1,Los Angeles Dodgers,Colorado Rockies
